borrower_id,sector,lender_type,age,monthly_income_kes,employment_tenure_months,digital_loans_last_90d,utility_payment_score,mobile_money_consistency,existing_loans,loan_amount_kes,dti_ratio,effective_apr,prior_default,default
B100000,Personal/Household,MFI,33,35787.0,18,2,0.926,0.93,2,88661.0,0.124,18.5,0,0
B100001,Real Estate,Bank,37,41490.0,32,0,0.779,0.633,1,122094.0,0.147,15.7,0,0
B100002,Personal/Household,Bank,28,29615.0,68,2,0.769,0.717,2,82703.0,0.14,19.0,0,0
B100003,Personal/Household,Digital Lender,39,26465.0,14,1,0.486,0.891,5,82433.0,0.156,8.0,0,0
B100004,Trade,Bank,41,9556.0,15,1,0.894,0.817,2,29346.0,0.154,13.0,0,0
B100005,Services,Bank,40,31128.0,9,1,0.661,0.769,2,81379.0,0.131,13.2,0,0
B100006,Personal/Household,Bank,33,41255.0,107,2,0.663,0.551,2,92536.0,0.112,12.4,0,0
B100007,Personal/Household,Digital Lender,46,28802.0,4,4,0.864,0.796,0,179772.0,0.312,209.5,0,0
B100008,Trade,Digital Lender,32,19336.0,2,4,0.673,0.724,2,54075.0,0.14,8.0,0,0
B100009,Real Estate,MFI,32,11807.0,3,1,0.866,0.84,3,47220.0,0.2,16.1,0,0
B100010,Agriculture,Digital Lender,49,38146.0,52,0,0.953,0.845,1,122496.0,0.161,234.2,0,0
B100011,Services,Bank,24,30279.0,49,1,0.896,0.557,2,159080.0,0.263,15.4,0,0
B100012,Transport,Digital Lender,18,63862.0,19,3,0.742,0.654,3,515483.0,0.404,64.2,0,0
B100013,Personal/Household,Bank,26,13398.0,11,1,0.891,0.23,2,94386.0,0.352,18.6,0,0
B100014,Real Estate,Bank,39,22956.0,24,1,0.821,0.785,5,73055.0,0.159,16.1,0,0
B100015,Agriculture,Bank,48,14376.0,9,3,0.854,0.578,0,63414.0,0.221,15.2,1,1
B100016,Manufacturing,Digital Lender,28,52257.0,5,3,0.798,0.745,4,467059.0,0.447,51.6,0,1
